,Data Value,Type,Location,Time Period
0,0.0,Boiler Emissions- Total SO2 Emissions,Rockaways,2013
1,0.0,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,2017-2019
2,0.0,Boiler Emissions- Total SO2 Emissions,Canarsie - Flatlands,2015
3,0.0,Boiler Emissions- Total PM2.5 Emissions,Southeast Queens,2015
4,0.0,Boiler Emissions- Total PM2.5 Emissions,Staten Island,2015
5,0.0,Boiler Emissions- Total PM2.5 Emissions,Canarsie - Flatlands,2015
6,0.0,Boiler Emissions- Total PM2.5 Emissions,Port Richmond,2015
7,0.0,Boiler Emissions- Total PM2.5 Emissions,South Beach - Tottenville,2015
8,0.0,Boiler Emissions- Total PM2.5 Emissions,East New York,2015
9,0.0,Boiler Emissions- Total PM2.5 Emissions,Rockaways,2015
10,0.0,Boiler Emissions- Total PM2.5 Emissions,Greenpoint,2015
11,0.0,Boiler Emissions- Total PM2.5 Emissions,Willowbrook,2015
12,0.0,Boiler Emissions- Total PM2.5 Emissions,Stapleton - St. George,2015
13,0.0,Boiler Emissions- Total SO2 Emissions,Port Richmond,2015
14,0.0,Boiler Emissions- Total SO2 Emissions,South Beach - Tottenville,2013
15,0.0,Boiler Emissions- Total PM2.5 Emissions,Rockaways,2013
16,0.0,Boiler Emissions- Total SO2 Emissions,Willowbrook,2013
17,0.0,Boiler Emissions- Total PM2.5 Emissions,Southeast Queens,2013
18,0.0,Boiler Emissions- Total SO2 Emissions,Port Richmond,2013
19,0.0,Boiler Emissions- Total PM2.5 Emissions,Staten Island,2013
20,0.0,Boiler Emissions- Total PM2.5 Emissions,East New York,2013
21,0.0,Boiler Emissions- Total PM2.5 Emissions,Sunset Park,2013
22,0.0,Boiler Emissions- Total PM2.5 Emissions,Willowbrook,2013
23,0.0,Boiler Emissions- Total PM2.5 Emissions,South Beach - Tottenville,2013
24,0.0,Boiler Emissions- Total PM2.5 Emissions,Port Richmond,2013
25,0.0,Boiler Emissions- Total PM2.5 Emissions,Stapleton - St. George,2013
26,0.0,Asthma hospitalizations due to Ozone,Bayside - Little Neck,2017-2019
27,0.0,Boiler Emissions- Total SO2 Emissions,Canarsie - Flatlands,2013
28,0.0,Boiler Emissions- Total PM2.5 Emissions,Canarsie - Flatlands,2013
29,0.0,Boiler Emissions- Total SO2 Emissions,Rockaways,2015
30,0.0,Boiler Emissions- Total SO2 Emissions,Willowbrook,2015
31,0.0,Boiler Emissions- Total SO2 Emissions,South Beach - Tottenville,2015
32,0.1,Boiler Emissions- Total PM2.5 Emissions,Jamaica,2015
33,0.1,Boiler Emissions- Total PM2.5 Emissions,Brooklyn,2015
34,0.1,Boiler Emissions- Total PM2.5 Emissions,Coney Island - Sheepshead Bay,2015
35,0.1,Boiler Emissions- Total SO2 Emissions,Staten Island,2015
36,0.1,Boiler Emissions- Total PM2.5 Emissions,Greenpoint,2013
37,0.1,Boiler Emissions- Total SO2 Emissions,East New York,2015
38,0.1,Boiler Emissions- Total PM2.5 Emissions,Sunset Park,2015
39,0.1,Boiler Emissions- Total PM2.5 Emissions,Coney Island - Sheepshead Bay,2013
40,0.1,Boiler Emissions- Total PM2.5 Emissions,Downtown - Heights - Slope,2013
41,0.1,Boiler Emissions- Total SO2 Emissions,Staten Island,2013
42,0.1,Boiler Emissions- Total SO2 Emissions,Sunset Park,2013
43,0.1,Boiler Emissions- Total PM2.5 Emissions,Williamsburg - Bushwick,2015
44,0.1,Boiler Emissions- Total SO2 Emissions,East New York,2013
45,0.1,Boiler Emissions- Total PM2.5 Emissions,Southwest Queens,2013
46,0.1,Boiler Emissions- Total PM2.5 Emissions,Jamaica,2013
47,0.1,Boiler Emissions- Total PM2.5 Emissions,Bedford Stuyvesant - Crown Heights,2013
48,0.1,Boiler Emissions- Total PM2.5 Emissions,Southwest Queens,2015
49,0.1,Boiler Emissions- Total PM2.5 Emissions,Williamsburg - Bushwick,2013
50,0.1,Boiler Emissions- Total PM2.5 Emissions,Brooklyn,2013
51,0.2,Boiler Emissions- Total PM2.5 Emissions,West Queens,2015
52,0.2,Boiler Emissions- Total PM2.5 Emissions,Bayside - Little Neck,2015
53,0.2,Boiler Emissions- Total PM2.5 Emissions,Queens,2015
54,0.2,Boiler Emissions- Total PM2.5 Emissions,Bayside - Little Neck,2013
55,0.2,Boiler Emissions- Total PM2.5 Emissions,Bedford Stuyvesant - Crown Heights,2015
56,0.2,Boiler Emissions- Total PM2.5 Emissions,Ridgewood - Forest Hills,2015
57,0.2,Boiler Emissions- Total PM2.5 Emissions,East Flatbush - Flatbush,2015
58,0.2,Boiler Emissions- Total SO2 Emissions,Stapleton - St. George,2015
59,0.2,Boiler Emissions- Total PM2.5 Emissions,Borough Park,2015
60,0.2,Boiler Emissions- Total PM2.5 Emissions,Borough Park,2013
61,0.2,Boiler Emissions- Total PM2.5 Emissions,Downtown - Heights - Slope,2015
62,0.2,Boiler Emissions- Total PM2.5 Emissions,Bensonhurst - Bay Ridge,2015
63,0.2,Boiler Emissions- Total PM2.5 Emissions,Bensonhurst - Bay Ridge,2013
64,0.3,Annual vehicle miles traveled (trucks),Rockaway and Broad Channel (CD14),2010
65,0.3,Boiler Emissions- Total PM2.5 Emissions,West Queens,2013
66,0.3,Boiler Emissions- Total SO2 Emissions,Greenpoint,2015
67,0.3,Boiler Emissions- Total PM2.5 Emissions,Northeast Bronx,2015
