,ESTIMATE,Demographic Category,Specific Category,Year,Age
0,0.0,Age,Under 15 years,2003,Under 15 years
1,0.0,Age,Under 15 years,2006,Under 15 years
2,0.0,Age,Under 15 years,2002,Under 15 years
3,0.0,Age,Under 15 years,2006,Under 15 years
4,0.0,Age,Under 15 years,2018,Under 15 years
5,0.0,Age,Under 15 years,2004,Under 15 years
6,0.0,Age,Under 15 years,2018,Under 15 years
7,0.0,Age,Under 15 years,2005,Under 15 years
8,0.0,Age,Under 15 years,2001,Under 15 years
9,0.0,Age,Under 15 years,2007,Under 15 years
10,0.0,Age,Under 15 years,2005,Under 15 years
11,0.0,Age,Under 15 years,2010,Under 15 years
12,0.1,Sex and age,Male: Under 15 years,2015,Under 15 years
13,0.1,Age,65-74 years,2008,65-74 years
14,0.1,Age,Under 15 years,2000,Under 15 years
15,0.1,Age,Under 15 years,2017,Under 15 years
16,0.1,Sex and age,Male: Under 15 years,2011,Under 15 years
17,0.1,Age,Under 15 years,2011,Under 15 years
18,0.1,Sex and age,Female: Under 15 years,2017,Under 15 years
19,0.1,Sex and age,Female: Under 15 years,2004,Under 15 years
20,0.1,Age,Under 15 years,2016,Under 15 years
21,0.1,Age,Under 15 years,2014,Under 15 years
22,0.1,Sex and age,Female: Under 15 years,2009,Under 15 years
23,0.1,Sex and age,Male: 15-24 years,1999,15-24 years
24,0.1,Sex and age,Male: Under 15 years,2014,Under 15 years
25,0.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2000,All ages
26,0.1,Age,Under 15 years,2005,Under 15 years
27,0.1,Sex and race,Female: Black or African American,2001,All ages
28,0.1,Age,Under 15 years,2008,Under 15 years
29,0.1,Age,15-24 years,2000,15-24 years
30,0.1,Age,Under 15 years,2009,Under 15 years
31,0.1,Sex and age,Male: Under 15 years,2003,Under 15 years
32,0.1,Sex and age,Male: Under 15 years,2004,Under 15 years
33,0.1,Sex and age,Male: Under 15 years,2005,Under 15 years
34,0.1,Sex and age,Male: Under 15 years,2011,Under 15 years
35,0.1,Sex and age,Male: Under 15 years,1999,Under 15 years
36,0.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2002,All ages
37,0.1,Sex and age,Male: Under 15 years,2012,Under 15 years
38,0.1,Age,Under 15 years,2001,Under 15 years
39,0.1,Sex and age,Female: Under 15 years,2008,Under 15 years
40,0.1,Age,65-74 years,1999,65-74 years
41,0.1,Sex and age,Female: Under 15 years,2011,Under 15 years
42,0.1,Sex and race,Female: Black or African American,2003,All ages
43,0.1,Age,Under 15 years,2004,Under 15 years
44,0.1,Age,Under 15 years,2010,Under 15 years
45,0.1,Age,Under 15 years,2012,Under 15 years
46,0.1,Sex and age,Female: Under 15 years,2014,Under 15 years
47,0.1,Sex and age,Female: 15-24 years,2004,15-24 years
